"Gift Card Value In","Valeur de la carte-cadeau dans"
"Gift Card Type","Type de carte-cadeau"
"Gift Card Sender","Expéditeur de la carte-cadeau"
"Enter Gift Card","Entrez la carte-cadeau"
"Note: Gift Card cannot be used to buy  gift card","Remarque : la carte-cadeau ne peut pas être utilisée pour acheter une carte-cadeau"
"My Orders","Mes commandes"
"Recent Orders","Dernières commandes"
"Initial Value","Valeur initiale"
"Current Balance","Solde actuel"
"Code","Code"
"Status","Statut"
"You have placed no orders","Vous n'avez passé aucune commande"
"Buy With Your Price","Achetez avec votre prix"
"Select Card Type","Sélectionner le type de carte"
"Select Template","Sélectionner un modèle"
"Sender Name","Nom de l'expéditeur"
"Sender Email","E-mail de l'expéditeur"
"Date of certificate delivery","Date de remise du certificat"
"Message","Message"
"Timezone","Fuseau horaire"
"Out Of Stock","En rupture de stock"
"Select Date","Sélectionner une date"
"Gift Card","Carte cadeau"
"We can\'t find products matching the selection","Nous ne trouvons pas de produits correspondant à la sélection"
"Add to Cart","Ajouter au chariot"
"day(s)","journées)"
"Expires","Expire"
"Loading...","Chargement..."
"Note: On Printed/Combined type, You will get delivery of gift card on your shipping address which youprovide during checkout","Remarque : sur le type imprimé/combiné, vous recevrez la livraison du cadeau carte sur votre adresse de livraison que vous fournissez lors de votre commande"
"Amount Should In Given PriceRange ","Le montant doit être dans la fourchette de prix donnée"
"If You Select Timezone Email will be Sent After Run Cron Job.","Si vous sélectionnez le fuseau horaire, l'e-mail sera envoyé après l'exécution de la tâche Cron."
"Preview","Aperçu"
"View Gift Card","Voir la carte-cadeau"
"Gift Card: ","Carte cadeau: "
"Gift Card Value:","Valeur de la carte-cadeau :"
"Gift Card Type:","Type de carte-cadeau :"
"Gift Card Sender:","Expéditeur de la carte-cadeau :"
"Apply Gift Card  ","Appliquer des chèques cadeaux "
"Gift Card Accepted ","Carte-cadeau acceptée "
"Check Status","Vérifier l'état"
